appno_norm,appl_type,appno_digits,appno,letter_date,letter_year,company_name,file_name,n_appnos_in_letter,has_prior_cr_letter,n_cr_letters_for_appno,cycle_method,cycle_type,label,text_len,SponsorName,ReviewPriority,event_dt,event_year,neg_tier,p_m14_cal_precomputed,SubmissionClassCode,second_cycle_ap
761393,BLA,761393,BLA761393,03/11/2025,2025,Seikagaku Corporation,CRL_BLA761393_20250311.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,6838,,,,,,,,
218353,NDA,218353,NDA218353,04/25/2025,2025,University of California San Francisco,CRL_NDA218353_20250425.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,7056,,,,,,,,
219870,NDA,219870,NDA219870,01/30/2026,2026,Aquestive Therapeutics Inc.,CRL_NDA219870_20260130.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,12508,,,,,,,,
218679,NDA,218679,NDA218679,08/27/2025,2025,Saol International Development Limited,CRL_NDA218679_20250827.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,11114,,,,,,,,
761459,BLA,761459,BLA761459,04/22/2026,2026,AbbVie Inc.,CRL_BLA761459_20260422.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,7499,,,,,,,,
219398,NDA,219398,NDA219398,01/28/2026,2026,Corcept Therapeutics,CRL_NDA219398_20260128.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,14942,,,,,,,,
219112,NDA,219112,NDA219112,01/17/2025,2025,"Hospira, Inc.",CRL_NDA219112_20250117.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,5242,,,,,,,,
219624,NDA,219624,NDA219624,12/23/2025,2025,Genzyme Corporation,CRL_NDA219624_20251223.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,23940,,,,,,,,
220184,NDA,220184,NDA220184,12/22/2025,2025,"MedicaSafe, Inc.",CRL_NDA220184_20251222.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,17537,,,,,,,,
218592,NDA,218592,NDA218592,04/25/2025,2025,Telix Pharmaceuticals (US) Inc.,CRL_NDA218592_20250425.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,7275,,,,,,,,
219694,NDA,219694,NDA219694,10/22/2025,2025,SYDNEXIS Inc.,CRL_NDA219694_20251022.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,12073,,,,,,,,
220049,NDA,220049,NDA220049,08/18/2025,2025,"PTC Therapeutics, Inc.",CRL_NDA220049_20250818.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,14405,,,,,,,,
761290,BLA,761290,BLA761290,01/31/2025,2025,"SFJ Pharmaceuticals, Inc.",CRL_BLA761290_20250131.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,7485,,,,,,,,
219846,NDA,219846,NDA219846,10/23/2025,2025,"Shanghai Auzone Biological Technology Co., Ltd.",CRL_NDA219846_20251023.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,6307,,,,,,,,
761401,BLA,761401,BLA761401,04/10/2026,2026,Telix Pharmaceuticals (US) Inc.,CRL_BLA761401_20260410.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,10439,,,,,,,,
217382,NDA,217382,NDA217382,06/02/2025,2025,ResQ Pharma,CRL_NDA217382_20250602.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,21955,,,,,,,,
215818,NDA,215818,NDA215818,04/25/2025,2025,"Fresenius Kabi USA, LLC",CRL_NDA215818_20250425.pdf,1,False,2,text_first_cycle,first_cycle_orig,1,6595,,,,,,,,
220707,NDA,220707,NDA220707,02/13/2026,2026,"Disc Medicine, Inc.",CRL_NDA220707_20260213.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,9626,,,,,,,,
761253,BLA,761253,BLA761253,02/27/2026,2026,Ferring Pharmaceuticals Inc.,CRL_BLA761253_20260227.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,6662,,,,,,,,
218607,NDA,218607,NDA218607,06/27/2025,2025,Unicycive Therapeutics Inc.,CRL_NDA218607_20250627.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,6941,,,,,,,,
