appno_norm,appl_type,appno_digits,appno,letter_date,letter_year,company_name,file_name,n_appnos_in_letter,has_prior_cr_letter,n_cr_letters_for_appno,cycle_method,cycle_type,label,text_len,SponsorName,ReviewPriority,event_dt,event_year,neg_tier,p_m14_cal_precomputed,SubmissionClassCode,second_cycle_ap,ref_date,ref_method,p_crl,p_source,risk_band,raw_p_uncalibrated,confidence_flag,_coverage,_feature_sources,p_rescore_offline,crosscheck_abs_diff
761393,BLA,761393,BLA761393,03/11/2025,2025,Seikagaku Corporation,CRL_BLA761393_20250311.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,6838,,,,,,,,,2024-05-11,letter_date_minus_clock_estimated,0.39266577,offline_builder_scored,high,0.48835475,low_confidence_sponsor;moderate_confidence_no_edgar_signal;probability_extrapolation,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
218353,NDA,218353,NDA218353,04/25/2025,2025,University of California San Francisco,CRL_NDA218353_20250425.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,7056,,,,,,,,,2024-06-25,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
219870,NDA,219870,NDA219870,01/30/2026,2026,Aquestive Therapeutics Inc.,CRL_NDA219870_20260130.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,12508,,,,,,,,,2025-04-01,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
218679,NDA,218679,NDA218679,08/27/2025,2025,Saol International Development Limited,CRL_NDA218679_20250827.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,11114,,,,,,,,,2024-10-27,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
761459,BLA,761459,BLA761459,04/22/2026,2026,AbbVie Inc.,CRL_BLA761459_20260422.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,7499,,,,,,,,,2025-06-22,letter_date_minus_clock_estimated,0.39266577,offline_builder_scored,high,0.48835475,low_confidence_sponsor;moderate_confidence_no_edgar_signal;probability_extrapolation,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
219398,NDA,219398,NDA219398,01/28/2026,2026,Corcept Therapeutics,CRL_NDA219398_20260128.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,14942,,,,,,,,,2025-03-30,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
219112,NDA,219112,NDA219112,01/17/2025,2025,"Hospira, Inc.",CRL_NDA219112_20250117.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,5242,,,,,,,,,2024-03-19,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
219624,NDA,219624,NDA219624,12/23/2025,2025,Genzyme Corporation,CRL_NDA219624_20251223.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,23940,,,,,,,,,2025-02-22,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
220184,NDA,220184,NDA220184,12/22/2025,2025,"MedicaSafe, Inc.",CRL_NDA220184_20251222.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,17537,,,,,,,,,2025-02-21,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
218592,NDA,218592,NDA218592,04/25/2025,2025,Telix Pharmaceuticals (US) Inc.,CRL_NDA218592_20250425.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,7275,,,,,,,,,2024-06-25,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
