ApplNo,SubmissionNo,SponsorName,event_year,y,p_oof
207318,12,ACADIA PHARMS INC,2023,0,0.9999005092573608
205677,12,VANDA PHARMS INC,2024,1,0.9932681729389554
125514,162,MERCK SHARP DOHME,2024,0,0.9898408299709738
125514,157,MERCK SHARP DOHME,2024,0,0.9893026502288421
125514,154,MERCK SHARP DOHME,2024,0,0.989005783125679
210854,21,GENENTECH INC,2024,0,0.9816524065947059
125554,122,BRISTOL MYERS SQUIBB,2024,0,0.9775669400644968
761055,55,REGENERON PHARMACEUTICALS,2024,0,0.9765761758046835
761150,5,MACROGENICS INC,2023,0,0.9669501663662312
125514,183,MERCK SHARP DOHME,2025,0,0.9657335530185516
125514,173,MERCK SHARP DOHME,2025,0,0.9652985438467911
125514,174,MERCK SHARP DOHME,2025,0,0.9641945552322483
207318,90002,ACADIA PHARMS INC,2022,1,0.9489472874311952
210854,20,GENENTECH INC,2024,0,0.9372156325431109
021106,74,PHARMACIA,2023,0,0.935818062736321
218160,3,ELI LILLY AND CO,2024,0,0.9319369177205269
215383,10,MERCK SHARP DOHME,2025,0,0.9316168067482781
212909,1,DR REDDYS LABS SA,2021,0,0.931147212780637
761216,1,COHERUS BIOSCIENCES INC,2023,0,0.9275281802357276
761151,9,UCB INC,2024,0,0.9274890308814674
214018,2,SENTYNL THERAPS INC,2022,0,0.9270720993809316
210872,1,ZUREX PHARMA,2021,0,0.9265261510409235
212038,2,PURDUE PHARMA LP,2021,0,0.9257020604423618
207962,5,SCILEX PHARMS,2021,0,0.9224766929822034
207947,8,ACTELION,2021,0,0.9165145620453605
215358,12,NOVARTIS,2025,0,0.9143199055164728
216338,1,TEVA PHARMS INC,2023,0,0.9122946483786515
212887,10,VIIV HLTHCARE,2024,0,0.9110643892197265
211675,28,ABBVIE,2025,0,0.9110037232793365
210655,10,INDIVIOR,2022,0,0.9107303288819371
215358,10,NOVARTIS,2025,0,0.909792232441045
210854,23,GENENTECH INC,2025,0,0.9094247999854803
208464,17,GILEAD SCIENCES INC,2024,0,0.9071734266844852
022474,11,LAB HRA PHARMA,2021,0,0.9065887362468584
022362,29,COSETTE,2021,0,0.9051392526461167
022348,21,CUMBERLAND PHARMS,2021,0,0.9046874741306364
021116,21,ALVOGEN,2021,0,0.898403954857808
208700,19,AAA USA INC,2022,0,0.8970491641646932
209401,11,JAZZ PHARMS THERAP,2022,0,0.8944647835019361
208692,14,EXELIXIS INC,2022,0,0.8934755044172367
761036,50,JANSSEN BIOTECH,2024,0,0.8931759964820755
761105,39,ABBVIE INC,2025,0,0.891430602972327
218160,1,ELI LILLY AND CO,2024,0,0.8903799146499932
217514,6,NOVARTIS,2025,0,0.8851251040142071
761262,11,ABBVIE INC,2025,0,0.8841490133961086
217513,5,NOVARTIS,2025,0,0.8833449614320797
215014,2,APELLIS PHARMS,2023,0,0.8787062257722094
761381,5,BRISTOL-MYERS SQUIBB,2025,0,0.874930050998596
761279,3,ELI LILLY AND CO,2025,0,0.8748820547632078
761178,7,BIOGEN INC,2023,0,0.8747859935525394
213246,11,ELI LILLY AND CO,2024,0,0.8738152874578499
